id,created_at,text,retweet_count,favorite_count
846717284353761280,Tue Mar 28 13:35:06 +0000 2017,Iceland became the first country to ask that employers prove they are paying men and women equally https://t.co/At0sPkYkpH,1081,2230
846714013601947648,Tue Mar 28 13:22:06 +0000 2017,Turnout wasn't the driver for Hillary Clinton's defeat @Nate_Cohn writes https://t.co/DRGQWWP2KA,102,244
846710732624482309,Tue Mar 28 13:09:04 +0000 2017,Trump's boyhood home in Queens sold for $2.14 million more than double the average value of homes in the area https://t.co/eScJGDEPKU,80,131
846707481317462017,Tue Mar 28 12:56:09 +0000 2017,11 great reads that have nothing to do with politics https://t.co/8vIyYgM0TH,141,423
846705142867132417,Tue Mar 28 12:46:51 +0000 2017,Subscribe to The Daily our daily audio news report hosted by @mikiebarb here: https://t.co/FLnxWV8RN6,11,49
846704186930745345,Tue Mar 28 12:43:03 +0000 2017,President Trump wanted a faster battle plan in Iraq. Is that why about 200 civilians are now dead in Mosul? https://t.co/KPNxeSliBQ,882,779
846700674721222657,Tue Mar 28 12:29:06 +0000 2017,Morning Briefing: Here's what you need to know to start your day https://t.co/dXXXFt7CQ3,48,73
846697391210336256,Tue Mar 28 12:16:03 +0000 2017,An extraordinarily complex and costly experiment to mimic the sun takes shape in France https://t.co/L024tntKFv https://t.co/ce4RleQyDb,220,389
846693613774016512,Tue Mar 28 12:01:02 +0000 2017,That magical dressing they serve at Japanese restaurants? You can make it at home. https://t.co/qS3mfmuPX8 https://t.co/xydXpMvOZ8,131,518
846689847351934978,Tue Mar 28 11:46:05 +0000 2017,How to avoid those pesky airline fees https://t.co/ndj75H9atN,61,181
846687355000016896,Tue Mar 28 11:36:10 +0000 2017,Bones Aboard South Korean Ferry Stir Anguish and Hope in Relatives https://t.co/h2xtaYRTuN,54,87
846686063364067328,Tue Mar 28 11:31:02 +0000 2017,RT @nytimesbusiness: During the campaign Trump promised a corporate tax rate of 15%. Now it may need to be 28%. https://t.co/T5mVNeVu5C htt…,101,0
846682299164962818,Tue Mar 28 11:16:05 +0000 2017,Exercising a little mindfulness can improve your workout https://t.co/EkQFpgEGeZ,101,249
846679067910901760,Tue Mar 28 11:03:14 +0000 2017,U.S. to Send Over 200 More Soldiers to Iraq to Help Retake Mosul https://t.co/97tMiAKDus,140,128
846678530134097920,Tue Mar 28 11:01:06 +0000 2017,Opinion: Paul Ryan brought down to size https://t.co/S8yFSd4iqR,226,582
846674747480002565,Tue Mar 28 10:46:04 +0000 2017,President Trump is expected to sign an executive order Tuesday reversing Obama climate rules https://t.co/gVGEDvyqLp,375,285
846668225513476096,Tue Mar 28 10:20:09 +0000 2017,Less than 4 years ago he fought for an Al Qaeda offshoot. Now he hosts Christian prayer meetings in Turkey. https://t.co/6JhWFhx0LV,174,280
846663704649351169,Tue Mar 28 10:02:12 +0000 2017,Best of Late Night: Jimmy Fallon Has Some Ideas for Trump’s Next Book https://t.co/xxqvU7cCM0,97,252
846659894984019968,Tue Mar 28 09:47:03 +0000 2017,"The ""feeling I had during our two weeks in Norway was the sense that someone had forgotten to turn off the sky"" https://t.co/7SYFVblnVC",94,278
846655830548234242,Tue Mar 28 09:30:54 +0000 2017,When a college basketball coach says “Take a seat” he is often referring to a specific one https://t.co/A566ctnyCa,31,104
846651784538083328,Tue Mar 28 09:14:50 +0000 2017,RT @nytimesbooks: Almost everyone living in the Third Reich was high on something Norman Ohler contends https://t.co/ftzCUgwVi0,56,0
846646982999523328,Tue Mar 28 08:55:45 +0000 2017,"Barry Jenkins who directed ""Moonlight"" is adapting Colson Whitehead's ""The Underground Railroad"" for Amazon https://t.co/tTf93kMUxq",155,497
846642949664493568,Tue Mar 28 08:39:43 +0000 2017,"RT @nytimesarts: “This generation of women is like: ‘What do you mean lean in? You lean into me."" https://t.co/l0x6Dyjc04",36,0
846638625613893632,Tue Mar 28 08:22:32 +0000 2017,Ralph Toledano Resigns From Puig in Fashion World Upheaval https://t.co/BQfSuxEH9M,32,68
846637389170839554,Tue Mar 28 08:17:37 +0000 2017,When the party is over on Saturday nights he picks up his camera https://t.co/JZQkbNEsnj,42,128
846633290211708928,Tue Mar 28 08:01:20 +0000 2017,Step inside Greta Garbo's former NYC home https://t.co/w5OyVVUo6O,80,190
846628464102985728,Tue Mar 28 07:42:10 +0000 2017,Companies move to block Breitbart from running their online ads. The ads are showing up anyway. https://t.co/dUihuRzs6r,232,320
846623660609810433,Tue Mar 28 07:23:04 +0000 2017,"When facing down some of the biggest trees on Earth all you can do is look up and say ""whoa"" https://t.co/YsMRzFZH3h",145,389
846618875705933825,Tue Mar 28 07:04:04 +0000 2017,"President Trump is a ""walking advertisement"" for his family businesses ethics groups say https://t.co/jFh5oSEdp7",289,410
846614029124714496,Tue Mar 28 06:44:48 +0000 2017,Make this spicy egg curry part of your regular dinner rotation https://t.co/sBXqUaDgg4 https://t.co/h4H3PxSXfB,108,403
846609972452638721,Tue Mar 28 06:28:41 +0000 2017,"""Well there was Mount Rushmore. That was really the biggest thing you could say about it: There it was."" https://t.co/2H0Kca72DJ",65,229
846605904623603713,Tue Mar 28 06:12:31 +0000 2017,"The Republicans in power: From ""we got this"" to ""what now?"" https://t.co/pX8vgBgKx9",152,335
846601110529998851,Tue Mar 28 05:53:28 +0000 2017,RT @nytopinion: The health care loss is a downside of Republican gerrymandering writes @CharlesMBlow https://t.co/w9IP1SORu7 https://t.co/…,168,0
846596296681107456,Tue Mar 28 05:34:20 +0000 2017,Practice these 8 skills of highly-positive people https://t.co/b15IaFrWgG,387,858
846591687803703296,Tue Mar 28 05:16:01 +0000 2017,For the first time since anyone can remember there is a very real possibility of 4 famines breaking out at once https://t.co/kZYujta7US,899,536
846587910736531456,Tue Mar 28 05:01:01 +0000 2017,"RT @nytimesworld: In Rome some see new LED lighting as the ""assassins of the beauty of Rome."" https://t.co/Zx5Rzd5zVB https://t.co/YAZv2RA…",90,0
846585169821753348,Tue Mar 28 04:50:07 +0000 2017,Critic's Notebook: Should Art That Infuriates Be Removed? https://t.co/jetTXcuF2v,81,160
